I0531 09:13:17.681936       1 utils.go:69] setup/runtime-checks "msg"="detect Kyverno is in rolling update, won't trigger the update again" 
I0531 09:13:18.671508       1 utils.go:69] setup/runtime-checks "msg"="detect Kyverno is in rolling update, won't trigger the update again" 
I0531 09:13:18.671522       1 utils.go:69] setup/runtime-checks "msg"="detect Kyverno is in rolling update, won't trigger the update again" 
I0531 09:13:18.682885       1 utils.go:69] setup/runtime-checks "msg"="detect Kyverno is in rolling update, won't trigger the update again" 
I0531 09:13:18.682884       1 utils.go:69] setup/runtime-checks "msg"="detect Kyverno is in rolling update, won't trigger the update again" 
I0531 09:13:19.684274       1 utils.go:69] setup/runtime-checks "msg"="detect Kyverno is in rolling update, won't trigger the update again" 
I0531 09:13:19.684351       1 utils.go:69] setup/runtime-checks "msg"="detect Kyverno is in rolling update, won't trigger the update again" 
I0531 09:13:20.690083       1 utils.go:69] setup/runtime-checks "msg"="detect Kyverno is in rolling update, won't trigger the update again" 
I0531 09:13:20.690094       1 utils.go:69] setup/runtime-checks "msg"="detect Kyverno is in rolling update, won't trigger the update again" 
I0531 09:13:21.690350       1 utils.go:69] setup/runtime-checks "msg"="detect Kyverno is in rolling update, won't trigger the update again" 
I0531 09:13:21.690369       1 utils.go:69] setup/runtime-checks "msg"="detect Kyverno is in rolling update, won't trigger the update again" 
I0531 09:13:22.690582       1 utils.go:69] setup/runtime-checks "msg"="detect Kyverno is in rolling update, won't trigger the update again" 
I0531 09:13:22.690627       1 utils.go:69] setup/runtime-checks "msg"="detect Kyverno is in rolling update, won't trigger the update again" 
I0531 09:13:23.690940       1 utils.go:69] setup/runtime-checks "msg"="detect Kyverno is in rolling update, won't trigger the update again" 
I0531 09:13:23.691188       1 utils.go:69] setup/runtime-checks "msg"="detect Kyverno is in rolling update, won't trigger the update again" 
I0531 09:13:24.695179       1 utils.go:69] setup/runtime-checks "msg"="detect Kyverno is in rolling update, won't trigger the update again" 
I0531 09:13:24.695254       1 utils.go:69] setup/runtime-checks "msg"="detect Kyverno is in rolling update, won't trigger the update again" 
I0531 10:13:08.662014       1 policy_controller.go:400] PolicyController/forceReconciliation "msg"="performing the background scan" "scan interval"="1h0m0s"
